确认收货时间,账户支出时间,淘客结算时间,创建时间,计划名称,商品ID,商品名称,实际成交价格,成交商品数,佣金比例,佣金,服务费率,服务费金额,淘宝父订单编号,淘宝子订单编号,来源或淘客昵称,团长名称,是否预售未付尾款订单,备注
2022-09-30 15:44:19	,2022-09-30 16:34:46	,2022-09-30 16:34:46	,2022-09-10 14:29:26	,营销计划,661897331571	,【99价】SERUMKIND韩国保湿滋润抗衰老软化角质青春焕彩唇部精华3.9g,69.53,1,10%,6.95,5%,3.48,2878650936826430162	,2878650936827430162	,taobaoss215,乐享联盟,,
2022-09-30 14:19:42	,2022-09-30 15:04:28	,2022-09-30 15:04:29	,2022-09-10 10:22:40	,营销计划,661897331571	,【99价】SERUMKIND韩国保湿滋润抗衰老软化角质青春焕彩唇部精华3.9g,123.35,2,10%,12.34,5%,6.16,2878925545738175462	,2878925545739175462	,taobaoss215,乐享联盟,,
2022-09-30 09:28:55	,2022-09-30 10:35:51	,2022-09-30 10:35:51	,2022-09-09 22:36:03	,营销计划,651516893639	,【99价】SERUMKIND韩国改善肌肤暗沉提亮肤色抗衰老青春焕彩精华液30ml,177.51,1,10%,17.75,5%,8.88,2879124051289760764	,2879124051291760764	,taobaoss215,乐享联盟,,
2022-09-30 09:28:55	,2022-09-30 10:35:51	,2022-09-30 10:35:51	,2022-09-09 22:36:03	,营销计划,651523021855	,【99价】SERUMKIND韩国阳光葡萄清颜精华液30ml,170.66,1,8%,13.65,4%,6.83,2879124051289760764	,2879124051290760764	,taobaoss215,,,
2022-09-29 11:45:45	,2022-09-29 13:02:30	,2022-09-29 13:02:30	,2022-09-09 10:11:29	,营销计划,661897331571	,【99价】SERUMKIND韩国保湿滋润抗衰老软化角质青春焕彩唇部精华3.9g,60.37,1,10%,6.04,5%,3.02,1665662196851035997	,1665662196852035997	,魔力投,乐享联盟,,
2022-09-29 10:58:20	,2022-09-29 11:35:15	,2022-09-29 11:35:15	,2022-09-08 20:04:36	,营销计划,651523021855	,【99价】SERUMKIND韩国阳光葡萄清颜精华液30ml,159.4,1,8%,12.75,4%,6.38,1666043583219131082	,1666043583220131082	,taobaoss215,,,
2022-09-28 23:00:12	,2022-09-29 00:45:09	,2022-09-29 00:45:09	,2022-09-24 10:10:06	,通用计划,651096752278	,【进口日价】SERUMKIND韩国水润收缩毛孔控油金木瓜毛孔精华液30ml,202,1,3%,6.06,,0.00,2905949376882543946	,2905949376885543946	,taobaoss137,,,
2022-09-28 23:00:12	,2022-09-29 00:45:09	,2022-09-29 00:45:09	,2022-09-24 10:10:06	,通用计划,652257043986	,【进口日价】SERUMKIND韩国锁水滋润补水保湿冰岛地衣精华液30ml,210.11,1,3%,6.3,,0.00,2905949376882543946	,2905949376884543946	,taobaoss137,,,
2022-09-28 23:00:12	,2022-09-29 00:45:09	,2022-09-29 00:45:09	,2022-09-24 10:10:06	,通用计划,651523021855	,【进口日价】SERUMKIND韩国阳光葡萄清颜精华液30ml,181.8,1,3%,5.45,,0.00,2905949376882543946	,2905949376883543946	,taobaoss137,,,
2022-09-28 16:16:42	,2022-09-28 17:06:06	,2022-09-28 17:06:06	,2022-09-17 00:12:17	,通用计划,651096752278	,SERUMKIND韩国水润收缩毛孔控油金木瓜毛孔精华液30ml,23.07,1,3%,0.69,,0.00,2891363652368332658	,2891363652368332658	,xgxhwl123,,,
2022-09-28 14:54:46	,2022-09-28 15:40:00	,2022-09-28 15:40:00	,2022-09-23 20:39:08	,通用计划,654434715560	,SUREBASE烁贝思韩国水光水润妆感焕彩保湿粉底液30ml,191.87,2,3%,5.76,,0.00,2906070013385979662	,2906070013386979662	,taobaoss137,,,
2022-09-28 09:22:41	,2022-09-28 12:04:21	,2022-09-28 12:04:21	,2022-09-07 23:02:57	,营销计划,652257043986	,【99价】SERUMKIND韩国锁水滋润补水保湿冰岛地衣精华液30ml,192.32,1,10%,19.23,5%,9.62,2874451897993378625	,2874451897994378625	,taobaoss215,乐享联盟,,
2022-09-28 09:46:51	,2022-09-28 12:04:21	,2022-09-28 12:04:21	,2022-09-07 22:56:28	,营销计划,661897331571	,【99价】SERUMKIND韩国保湿滋润抗衰老软化角质青春焕彩唇部精华3.9g,49.13,1,10%,4.91,5%,2.46,2874443581505385421	,2874443581507385421	,tb369013545,乐享联盟,,
2022-09-28 09:46:51	,2022-09-28 12:04:21	,2022-09-28 12:04:21	,2022-09-07 22:56:28	,通用计划,651523021855	,【99价】SERUMKIND韩国阳光葡萄清颜精华液30ml,134.97,1,3%,4.05,,0.00,2874443581505385421	,2874443581506385421	,tb369013545,,,
2022-09-28 07:54:49	,2022-09-28 08:38:16	,2022-09-28 08:38:16	,2022-09-23 20:41:35	,通用计划,653231788457	,SUREBASE烁贝思韩国焕彩保湿水光气垫正装(含2个粉扑/无替换装),140.08,1,3%,4.2,,0.00,2906480306126762850	,2906480306127762850	,taobaoss137,,,
2022-09-27 18:27:41	,2022-09-27 20:40:18	,2022-09-27 20:40:18	,2022-09-26 15:18:02	,通用计划,651888946198	,【进口日价】SERUMKIND韩国保湿滋润修护手部肌肤屏障黑郁金香护手精华50ml,112.91,1,3%,3.39,,0.00,2911691161215114103	,2911691161216114103	,一栋小屋76671007,,,
2022-09-27 17:55:43	,2022-09-27 18:29:59	,2022-09-27 18:29:59	,2022-09-09 20:25:32	,营销计划,661897331571	,【99价】SERUMKIND韩国保湿滋润抗衰老软化角质青春焕彩唇部精华3.9g,61.19,1,10%,6.12,5%,3.06,1666229772149033980	,1666229772150033980	,tb876064_2011,乐享联盟,,
2022-09-27 14:51:27	,2022-09-27 17:32:52	,2022-09-27 17:32:52	,2022-09-07 13:49:17	,营销计划,651523021855	,【99价】SERUMKIND韩国阳光葡萄清颜精华液30ml,312.66,2,8%,25.01,4%,12.51,1664752839446885997	,1664752839447885997	,taobaoss215,,,
2022-09-27 09:43:09	,2022-09-27 10:36:16	,2022-09-27 10:36:16	,2022-09-06 21:43:55	,通用计划,654434291940	,SUREBASE烁贝思韩国焕彩保湿水光妆容气垫替换装13ml,87.56,1,3%,2.63,,0.00,2869812648808392039	,2869812648810392039	,taobaoss137,,,
2022-09-27 09:43:09	,2022-09-27 10:36:16	,2022-09-27 10:36:16	,2022-09-06 21:43:55	,营销计划,671728721581	,SERUMKIND西洋蓍草全方位弹力修护加强深层滋养身体精华乳300ml,166.07,1,8%,13.29,4%,6.64,2869812648808392039	,2869812648809392039	,taobaoss215,,,
2022-09-27 09:47:39	,2022-09-27 10:34:22	,2022-09-27 10:34:22	,2022-09-06 22:50:33	,营销计划,653231788457	,SUREBASE烁贝思韩国焕彩保湿水光气垫正装(含2个粉扑/无替换装),128.5,1,8%,10.28,4%,5.14,1664271877088877070	,1664271877089877070	,taobaoss215,,,
2022-09-27 08:36:44	,2022-09-27 10:34:22	,2022-09-27 10:34:22	,2022-09-06 22:40:38	,通用计划,654434291940	,SUREBASE烁贝思韩国焕彩保湿水光妆容气垫替换装13ml,159.28,2,3%,4.78,,0.00,1664255785914982194	,1664255785915982194	,taobaoss137,,,
2022-09-26 22:18:25	,2022-09-26 23:03:18	,2022-09-26 23:03:18	,2022-09-06 20:15:45	,营销计划,653231788457	,SUREBASE烁贝思韩国焕彩保湿水光气垫正装(含2个粉扑/无替换装),143.15,1,8%,11.45,4%,5.73,2871521526180529564	,2871521526181529564	,taobaoss215,,,
2022-09-26 21:51:54	,2022-09-26 22:51:47	,2022-09-26 22:51:47	,2022-09-06 20:27:23	,营销计划,651096752278	,SERUMKIND韩国水润收缩毛孔控油金木瓜毛孔精华液30ml,170.7,1,8%,13.66,4%,6.82,2870259364677881248	,2870259364679881248	,taobaoss215,,,
2022-09-26 21:51:54	,2022-09-26 22:51:47	,2022-09-26 22:51:47	,2022-09-06 20:27:23	,营销计划,651523021855	,SERUMKIND韩国阳光葡萄清颜精华液30ml,170.7,1,8%,13.66,4%,6.82,2870259364677881248	,2870259364678881248	,taobaoss215,,,
2022-09-26 18:20:22	,2022-09-26 21:02:29	,2022-09-26 21:02:29	,2022-09-08 11:56:51	,营销计划,653231788457	,【99价】SUREBASE烁贝思韩国焕彩保湿水光气垫正装(含2个粉扑/无替换装),129.43,1,10%,12.94,5%,6.47,2875908531656523307	,2875908531657523307	,taobaoss215,乐享联盟,,
2022-09-22 17:30:09	,2022-09-22 18:09:47	,2022-09-22 18:09:47	,2022-09-19 09:07:54	,通用计划,651888946198	,SERUMKIND韩国保湿滋润修护手部肌肤屏障黑郁金香护手精华50ml,136.57,1,3%,4.1,,0.00,2896430221648020736	,2896430221648020736	,taobaoss137,,,
2022-09-22 11:58:06	,2022-09-22 12:34:16	,2022-09-22 12:34:16	,2022-09-02 11:06:00	,营销计划,651523021855	,SERUMKIND韩国阳光葡萄清颜精华液30ml,228.23,1,10%,22.82,5%,11.41,2860721535534648162	,2860721535534648162	,taobaoss215,洛克联盟,,
2022-09-20 07:44:50	,2022-09-20 08:36:25	,2022-09-20 08:36:25	,2022-09-07 15:26:08	,营销计划,661897331571	,【99价】SERUMKIND韩国保湿滋润抗衰老软化角质青春焕彩唇部精华3.9g,149.06,2,10%,14.91,5%,7.45,2872690920117335143	,2872690920118335143	,跃硕科技,乐享联盟,,
2022-09-20 08:11:12	,2022-09-20 08:32:58	,2022-09-20 08:32:58	,2022-09-06 21:23:04	,营销计划,651523021855	,SERUMKIND韩国阳光葡萄清颜精华液30ml,39.33,2,8%,3.15,4%,1.57,1663329828859885997	,1663329828860885997	,taobaoss215,,,
2022-09-17 09:42:41	,2022-09-17 12:38:31	,2022-09-17 12:38:31	,2022-09-06 20:40:07	,营销计划,652257043986	,SERUMKIND韩国锁水滋润补水保湿冰岛地衣精华液30ml,160.66,1,8%,12.85,4%,6.43,2871303257583923631	,2871303257584923631	,taobaoss215,,,
2022-09-17 08:50:38	,2022-09-17 09:34:47	,2022-09-17 09:34:47	,2022-09-06 23:33:16	,通用计划,653231788457	,SUREBASE烁贝思韩国焕彩保湿水光气垫正装(含2个粉扑/无替换装),128.68,1,3%,3.86,,0.00,1664239731938029984	,1664239731939029984	,蜜源app,,,
2022-09-15 18:33:44	,2022-09-15 19:31:06	,2022-09-15 19:31:06	,2022-08-26 16:55:49	,通用计划,653231788457	,【进口日价】SUREBASE烁贝思韩国焕彩保湿水光气垫正装(含2个粉扑/无替换装),154.76,1,3%,4.64,,0.00,2846118889374759642	,2846118889376759642	,魔力投,,,
2022-09-15 18:29:50	,2022-09-15 19:07:07	,2022-09-15 19:07:07	,2022-09-07 07:39:18	,营销计划,651888946198	,【99价】SERUMKIND韩国保湿滋润修护手部肌肤屏障黑郁金香护手精华50ml,299.32,3,8%,23.95,4%,11.97,2872940402971972761	,2872940402972972761	,taobaoss215,,,
2022-09-15 18:33:44	,2022-09-15 19:02:53	,2022-09-15 19:02:53	,2022-08-26 16:55:49	,通用计划,661897331571	,【进口日价】SERUMKIND韩国保湿滋润抗衰老软化角质青春焕彩唇部精华3.9g,77.06,1,3%,2.31,,0.00,2846118889374759642	,2846118889375759642	,魔力投,,,
2022-09-15 00:46:48	,2022-09-15 02:04:07	,2022-09-15 02:04:07	,2022-09-10 18:57:30	,营销计划,661897331571	,【99价】SERUMKIND韩国保湿滋润抗衰老软化角质青春焕彩唇部精华3.9g,58.98,1,10%,5.9,5%,2.95,2880436106027071129	,2880436106028071129	,迷糊小公主,乐享联盟,,
