"子订单编号","主订单编号","标题","价格","购买数量","外部系统编号","商品属性","套餐信息","备注","订单状态","商家编码","支付单号","买家应付货款","买家实际支付金额","退款状态","退款金额","订单创建时间","订单付款时间"
="2875805064876930556",="2875805064874930556","【赠品专用】SERUMKIND精华液小样1ml*3","25.00","2","null","null","null","null","交易成功","null",="2022090922001193061401185892","0.00","0.00","没有申请退款","无退款申请","2022-09-09 02:23:26","2022-09-09 02:23:30"
="1666317289705221172",="1666317289704221172","【99价】SERUMKIND韩国阳光葡萄清颜精华液30ml","269.00","1","8809754820689","null","null","null","交易成功","8809754820689",="2022090922001183911419717215","209.00","209.00","没有申请退款","无退款申请","2022-09-09 00:02:02","2022-09-09 00:02:08"
="1666317289706221172",="1666317289704221172","【赠品专用】SERUMKIND精华液小样1ml*3","25.00","2","null","null","null","null","交易成功","null",="2022090922001183911419717215","0.00","0.00","没有申请退款","无退款申请","2022-09-09 00:02:02","2022-09-09 00:02:08"
="1666180239909723172",="1666180239908723172","【99价】SERUMKIND韩国保湿滋润抗衰老软化角质青春焕彩唇部精华3.9g","139.00","2","null","null","null","null","交易成功","null",="2022090822001107621458636123","157.52","157.52","没有申请退款","无退款申请","2022-09-08 22:49:56","2022-09-08 22:50:01"
="1666180239910723172",="1666180239908723172","【赠品专用】SERUMKIND精华液小样1ml*3","25.00","2","null","null","null","null","交易成功","null",="2022090822001107621458636123","0.00","0.00","没有申请退款","无退款申请","2022-09-08 22:49:56","2022-09-08 22:50:01"
="1666180239911723172",="1666180239908723172","【赠品专用】SUREBASE烁贝思纯锌物理防晒隔离小样10ml","25.00","1","8809754820887","null","null","null","交易成功","8809754820887",="2022090822001107621458636123","0.00","0.00","没有申请退款","无退款申请","2022-09-08 22:49:56","2022-09-08 22:50:01"
="1666180239912723172",="1666180239908723172","【赠品专用】SUREBASE烁贝思粉扑2件装","20.00","1","null","null","null","null","交易成功","null",="2022090822001107621458636123","0.00","0.00","没有申请退款","无退款申请","2022-09-08 22:49:56","2022-09-08 22:50:01"
="1666166558515723172",="1666166558514723172","【99价】SUREBASE烁贝思韩国焕彩保湿水光妆容气垫替换装13ml","139.00","1","null","颜色分类：N1 SINCERE SARA (替换装);净含量：13ml","null","null","交易关闭","null",="2022090822001107621459080986","91.33","91.33","退款成功","91.33","2022-09-08 22:45:19","2022-09-08 22:45:25"
="1666166558516723172",="1666166558514723172","【99价】SERUMKIND韩国保湿滋润抗衰老软化角质青春焕彩唇部精华3.9g","139.00","1","null","null","null","null","交易关闭","null",="2022090822001107621459080986","66.32","66.32","退款成功","66.32","2022-09-08 22:45:19","2022-09-08 22:45:25"
="1666166558517723172",="1666166558514723172","【赠品专用】SERUMKIND精华液小样1ml*3","25.00","2","null","null","null","null","交易关闭","null",="2022090822001107621459080986","0.00","0.00","退款成功","0.00","2022-09-08 22:45:19","2022-09-08 22:45:25"
="1666166558518723172",="1666166558514723172","【赠品专用】SUREBASE烁贝思纯锌物理防晒隔离小样10ml","25.00","1","8809754820887","null","null","null","交易关闭","8809754820887",="2022090822001107621459080986","0.00","0.00","退款成功","0.00","2022-09-08 22:45:19","2022-09-08 22:45:25"
="1666166558519723172",="1666166558514723172","【赠品专用】SUREBASE烁贝思粉扑2件装","20.00","1","null","null","null","null","交易关闭","null",="2022090822001107621459080986","0.00","0.00","退款成功","0.00","2022-09-08 22:45:19","2022-09-08 22:45:25"
="1665424164280308673",="1665424164279308673","【99价】SERUMKIND韩国保湿滋润抗衰老软化角质青春焕彩唇部精华3.9g","139.00","2","null","null","null","null","交易成功","null",="2022090822001112511425729962","199.20","199.20","没有申请退款","无退款申请","2022-09-08 22:06:31","2022-09-08 22:06:36"
="1665424164281308673",="1665424164279308673","【赠品专用】SERUMKIND精华液小样1ml*3","25.00","2","null","null","null","null","交易成功","null",="2022090822001112511425729962","0.00","0.00","没有申请退款","无退款申请","2022-09-08 22:06:31","2022-09-08 22:06:36"
="1665424164282308673",="1665424164279308673","【赠品专用】SUREBASE烁贝思纯锌物理防晒隔离小样10ml","25.00","1","8809754820887","null","null","null","交易成功","8809754820887",="2022090822001112511425729962","0.00","0.00","没有申请退款","无退款申请","2022-09-08 22:06:31","2022-09-08 22:06:36"
="1665424164283308673",="1665424164279308673","【赠品专用】SUREBASE烁贝思粉扑2件装","20.00","1","null","null","null","null","交易成功","null",="2022090822001112511425729962","0.00","0.00","没有申请退款","无退款申请","2022-09-08 22:06:31","2022-09-08 22:06:36"
